id,path,split,species_src,species_tgt,label,gen_family,seed,ref_id,source
pixabay_cat_003592,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003592.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003599,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003599.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004194,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004194.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003241,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003241.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002745,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002745.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003288,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003288.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003269,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003269.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004055,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004055.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004460,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004460.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004122,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004122.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003800,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003800.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003888,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003888.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003910,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003910.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003088,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003088.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004730,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004730.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003627,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003627.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004180,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004180.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004095,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004095.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004709,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004709.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003981,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003981.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002835,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002835.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003680,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003680.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003853,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003853.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004118,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004118.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004013,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004013.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003879,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003879.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003396,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003396.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002884,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002884.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002958,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002958.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004700,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004700.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004255,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004255.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004283,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004283.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003793,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003793.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003600,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003600.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003153,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003153.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002988,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002988.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004779,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004779.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003679,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003679.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003233,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003233.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002912,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002912.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002921,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002921.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002870,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002870.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003091,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003091.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004576,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004576.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004234,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004234.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004045,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004045.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004144,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004144.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003098,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003098.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004266,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004266.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003419,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003419.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002945,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002945.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003898,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003898.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004279,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004279.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004418,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004418.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003256,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003256.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004015,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004015.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003752,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003752.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002734,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002734.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004192,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004192.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003438,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003438.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004314,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004314.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003880,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003880.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004786,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004786.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004107,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004107.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003785,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003785.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002864,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002864.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003461,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003461.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004142,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004142.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004519,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004519.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004798,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004798.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002802,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002802.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004125,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004125.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004545,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004545.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004627,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004627.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004775,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004775.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003027,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003027.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003428,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003428.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003363,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003363.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004157,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004157.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002908,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002908.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003018,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003018.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003118,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003118.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004594,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004594.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003575,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003575.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004273,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004273.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002968,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002968.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004755,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004755.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002867,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002867.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003110,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003110.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004286,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004286.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002994,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002994.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003969,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003969.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004708,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004708.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003127,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003127.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003623,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003623.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002899,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002899.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003579,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003579.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003243,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003243.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003056,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003056.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003992,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003992.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004398,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004398.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004515,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004515.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004059,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004059.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003624,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003624.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002954,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002954.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003654,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003654.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004402,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004402.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004105,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004105.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003919,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003919.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003237,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003237.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004290,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004290.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003565,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003565.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002881,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002881.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004530,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004530.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004394,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004394.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002764,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002764.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004649,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004649.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003662,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003662.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002913,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002913.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003636,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003636.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003813,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003813.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004669,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004669.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003250,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003250.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004751,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004751.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004099,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004099.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002755,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002755.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004374,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004374.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004145,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004145.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004248,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004248.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004332,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004332.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004065,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004065.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004272,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004272.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003958,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003958.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003072,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003072.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002791,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002791.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003434,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003434.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003845,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003845.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002887,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002887.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003959,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003959.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004054,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004054.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004085,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004085.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004182,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004182.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003030,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003030.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004368,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004368.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004646,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004646.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003442,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003442.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002868,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002868.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002916,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002916.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003013,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003013.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002757,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002757.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004443,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004443.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003026,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003026.jpg,train,cat,cat,real,none,,,afhq
